wxid,Timestamp,Text
wxid_9ew2g0m2im9u21,2025-09-04 04:36:48,下午训练要死了
wxid_g7u000tjc91t22,2025-09-04 04:36:50,[表情包]
wxid_1vaqhsp5n5hs22,2025-09-04 04:37:14,诸位我先死一步😭😭😭
wxid_m76swlb22bn132,2025-09-04 04:37:24,啊啊啊啊啊啊
wxid_urt2jnq879zd29,2025-09-04 04:37:24,[流泪]
wxid_m76swlb22bn132,2025-09-04 04:37:43,鼠鼠我啊
wxid_m76swlb22bn132,2025-09-04 04:37:49,要鼠了
wxid_urt2jnq879zd29,2025-09-04 04:38:08,[衰]
wxid_9hpjr3hpy6th22,2025-09-04 04:47:03,下午不是消防演练吗
wxid_nzs11xlkvlc512,2025-09-04 04:47:10,？
wxid_urt2jnq879zd29,2025-09-04 04:47:12,[惊讶]
wxid_9ew2g0m2im9u21,2025-09-04 04:47:14,？
wxid_urt2jnq879zd29,2025-09-04 04:47:18,？
wxid_g7u000tjc91t22,2025-09-04 04:47:24,[表情包]
wxid_9ew2g0m2im9u21,2025-09-04 04:47:25,操场的孩子
wxid_1vaqhsp5n5hs22,2025-09-04 04:47:28,真的吗
wxid_am6sqatoq5j422,2025-09-04 04:47:28,七排还早
wxid_9ew2g0m2im9u21,2025-09-04 04:47:29,要在哪消防演练
wxid_nzs11xlkvlc512,2025-09-04 04:47:48,一排呢
wxid_nzs11xlkvlc512,2025-09-04 04:47:54,什么时候演练
wxid_9ew2g0m2im9u21,2025-09-04 04:47:55,四连呢
wxid_rj6x2vxxfecy12,2025-09-04 04:48:08,原来有安排顺序的吗
wxid_9ew2g0m2im9u21,2025-09-04 04:48:10,表上写昨天演练
wxid_9ew2g0m2im9u21,2025-09-04 04:48:12,我们并没有
wxid_g7u000tjc91t22,2025-09-04 04:48:29,[表情包]
wxid_1vaqhsp5n5hs22,2025-09-04 04:48:47,😭
wxid_m76swlb22bn132,2025-09-04 04:50:03,按顺序来的
wxid_m76swlb22bn132,2025-09-04 04:50:08,我们也是今天下午
wxid_g7u000tjc91t22,2025-09-04 04:50:20,[图片]
wxid_9ew2g0m2im9u21,2025-09-04 04:50:59,哦哦
wxid_g7u000tjc91t22,2025-09-04 04:51:00,[表情包]
wxid_m76swlb22bn132,2025-09-04 04:53:05,说会很呛
wxid_m76swlb22bn132,2025-09-04 04:53:09,让我们去买口罩
wxid_rj6x2vxxfecy12,2025-09-04 04:53:34,有无6连时间
wxid_rj6x2vxxfecy12,2025-09-04 04:53:38,[疑问]
wxid_m76swlb22bn132,2025-09-04 04:53:48,布吉岛
wxid_m76swlb22bn132,2025-09-04 04:56:50,我们下周就要轮去体育场了呜呜
wxid_9ew2g0m2im9u21,2025-09-04 04:57:21,啊
wxid_9ew2g0m2im9u21,2025-09-04 04:57:23,太好了哈哈
wxid_9ew2g0m2im9u21,2025-09-04 04:57:28,但是下周好像下雨
wxid_m76swlb22bn132,2025-09-04 04:58:36,（浮出水面）
wxid_m76swlb22bn132,2025-09-04 04:58:58,感觉这个天体育场会很晒
wxid_9ew2g0m2im9u21,2025-09-04 04:59:11,。
wxid_m76swlb22bn132,2025-09-04 04:59:13,昨天去安中楼的时候路过
wxid_9ew2g0m2im9u21,2025-09-04 04:59:14,早上就在体育场。
wxid_9ew2g0m2im9u21,2025-09-04 04:59:17,已经亖了。
wxid_m76swlb22bn132,2025-09-04 04:59:19,一点遮挡都没有
wxid_9ew2g0m2im9u21,2025-09-04 04:59:28,是。
wxid_rj6x2vxxfecy12,2025-09-04 04:59:35,体育馆不是很闷吗
wxid_9ew2g0m2im9u21,2025-09-04 04:59:49,体育场
wxid_9ew2g0m2im9u21,2025-09-04 04:59:54,应该没人在体育馆吧
wxid_m76swlb22bn132,2025-09-04 04:59:56,露天的
wxid_m76swlb22bn132,2025-09-04 04:59:58,大哥
wxid_rj6x2vxxfecy12,2025-09-04 05:00:10,噢噢
wxid_1vaqhsp5n5hs22,2025-09-04 05:00:13,。
wxid_rj6x2vxxfecy12,2025-09-04 05:00:17,又🍬了
wxid_9ew2g0m2im9u21,2025-09-04 05:18:06,这就开始工具人营业了
wxid_g7u000tjc91t22,2025-09-04 05:18:08,[表情包]
wxid_rj6x2vxxfecy12,2025-09-04 05:18:10,豪庭！
wxid_g7u000tjc91t22,2025-09-04 05:18:14,[表情包]
wxid_g7u000tjc91t22,2025-09-04 05:18:53,[表情包]
wxid_9ew2g0m2im9u21,2025-09-04 05:18:55,说吧
wxid_9ew2g0m2im9u21,2025-09-04 05:18:59,他是被迫的
wxid_9ew2g0m2im9u21,2025-09-04 05:19:02,还是被迫的
wxid_g7u000tjc91t22,2025-09-04 05:19:03,[表情包]
voup_w,2025-09-04 05:19:15,你自己去问他
wxid_g7u000tjc91t22,2025-09-04 05:19:18,[表情包]
voup_w,2025-09-04 05:19:28,看起来你还是有点小瞧了nova
wxid_9ew2g0m2im9u21,2025-09-04 05:19:39,别跟我说是AI
wxid_g7u000tjc91t22,2025-09-04 05:19:40,[表情包]
wxid_9ew2g0m2im9u21,2025-09-04 05:20:14,太搞笑了
wxid_g7u000tjc91t22,2025-09-04 05:20:15,[表情包]
wxid_9ew2g0m2im9u21,2025-09-04 05:20:20,幸好不是玩我
wxid_g7u000tjc91t22,2025-09-04 05:21:21,AI的吧
voup_w,2025-09-04 05:21:28,你说呢
wxid_g7u000tjc91t22,2025-09-04 05:21:42,[表情包]
wxid_g7u000tjc91t22,2025-09-04 05:22:06,[表情包]
wxid_g7u000tjc91t22,2025-09-04 05:22:30,好像本人！
wxid_g7u000tjc91t22,2025-09-04 05:22:32,厉害
wxid_9ew2g0m2im9u21,2025-09-04 05:22:46,可以拿出去诈骗我了
wxid_g7u000tjc91t22,2025-09-04 05:22:46,[表情包]
wxid_jmqcyqm6iik312,2025-09-04 05:23:21,朋友们有无靠谱魔法推荐，想续费结果发现原网站被屏了[裂开]
wxid_9ew2g0m2im9u21,2025-09-04 05:23:47,这里是能发的吗
wxid_9ew2g0m2im9u21,2025-09-04 05:23:52,我的30 300G
wxid_g7u000tjc91t22,2025-09-04 05:23:53,[表情包]
wxid_g7u000tjc91t22,2025-09-04 05:24:18,https://xfltd.org/#/
wxid_g7u000tjc91t22,2025-09-04 05:24:23,[表情包]
wxid_g7u000tjc91t22,2025-09-04 05:24:26,[表情包]
wxid_mugbf0fhylqf22,2025-09-04 05:28:44,家人们这好像不兴聊啊
wxid_nz5v2hmopwd712,2025-09-04 05:29:33,确实确实
wxid_g7u000tjc91t22,2025-09-04 05:29:39,[表情包]
wxid_jmqcyqm6iik312,2025-09-04 05:29:46,好人选课全中[合十]
wxid_mugbf0fhylqf22,2025-09-04 05:30:03,[哇]
wxid_g7u000tjc91t22,2025-09-04 05:30:07,[表情包]
wxid_g7u000tjc91t22,2025-09-04 06:15:01,[表情包]
wxid_urt2jnq879zd29,2025-09-04 06:18:45,下雨了？[惊讶]
